date,rolling_beta
2006-01-27,0.8942413799811951
2006-01-30,0.897487954823774
2006-01-31,0.8781423670374826
2006-02-01,0.8885225028126966
2006-02-02,0.9090763737765561
2006-02-03,0.9325898666239593
2006-02-06,0.9396960945022536
2006-02-07,1.0679122749462358
2006-02-08,1.0486240233317365
2006-02-09,1.0323481564439558
2006-02-10,1.0088094321863317
2006-02-13,1.0425905334760102
2006-02-14,1.026737727863527
2006-02-15,1.0001387682493987
2006-02-16,1.032232415899859
2006-02-17,1.014555376729523
2006-02-21,1.0133103850590832
2006-02-22,1.0524504044110066
2006-02-23,1.060507408729917
2006-02-24,1.1491823302280422
2006-02-27,1.135673134223546
2006-02-28,1.0500796075009593
2006-03-01,0.994036391600374
2006-03-02,0.9932976291540753
2006-03-03,1.001588386489319
2006-03-06,1.0521587291726546
2006-03-07,1.0649858458705503
2006-03-08,1.05963440139602
2006-03-09,1.0539705057294564
2006-03-10,1.023825207410358
2006-03-13,1.0454022382996662
2006-03-14,1.0768292099373202
2006-03-15,1.0628930479080325
2006-03-16,1.0694761211282486
2006-03-17,1.0907739439027244
2006-03-20,1.0882741861013743
2006-03-21,1.1059104109126139
2006-03-22,1.0823893772791364
2006-03-23,1.0844437874804658
2006-03-24,1.210556075213953
2006-03-27,1.2111232638318536
2006-03-28,1.2508198521078986
2006-03-29,1.1996266199005674
2006-03-30,1.1030510965643148
2006-03-31,1.0973382588120888
2006-04-03,1.0876392623404278
2006-04-04,1.0202501213238917
2006-04-05,1.0113682776651114
2006-04-06,1.0158190490735057
2006-04-07,1.064537248451265
2006-04-10,1.0914385048046997
2006-04-11,1.0689999573053321
2006-04-12,1.0751488562880276
2006-04-13,1.0732591222195853
2006-04-17,1.0530501325753776
2006-04-18,1.1330730696687272
2006-04-19,1.1348489711692125
2006-04-20,1.1350434809169225
2006-04-21,1.116109971888236
2006-04-24,1.174029089174449
2006-04-25,1.2150977516800274
2006-04-26,1.2132205864313024
2006-04-27,1.2199100542799957
2006-04-28,1.2195449574554524
2006-05-01,1.2277226442976468
2006-05-02,1.2436855547985939
2006-05-03,1.2424909672112432
2006-05-04,1.1361869675264002
2006-05-05,1.1667719501065676
2006-05-08,1.1907652768188337
2006-05-09,1.1957021029220942
2006-05-10,1.1704084516507987
2006-05-11,1.1534839253634652
2006-05-12,1.1769545444750098
2006-05-15,1.161987339551252
2006-05-16,1.146238916477186
2006-05-17,1.1542769589501978
2006-05-18,1.1150593336240469
2006-05-19,1.088637056355308
2006-05-22,1.0783967450598675
2006-05-23,1.0802166706701897
2006-05-24,1.1341044239960423
2006-05-25,1.086588416626423
2006-05-26,1.0872322395977032
2006-05-30,1.0753784013132393
2006-05-31,1.0099460825545055
2006-06-01,0.9708832946186375
2006-06-02,0.9806088424162549
2006-06-05,0.9884370499252674
2006-06-06,1.0113169119226562
2006-06-07,1.012011187738288
2006-06-08,0.987647688507005
2006-06-09,0.9951517461313569
2006-06-12,0.9515213338187786
2006-06-13,1.0071647835269621
2006-06-14,0.9797731365522673
2006-06-15,0.9613867747484719
2006-06-16,0.9588306669328075
2006-06-19,0.9719969851327644
2006-06-20,0.9632989940669451
2006-06-21,0.9744236232034452
2006-06-22,0.9698963945454103
2006-06-23,0.9962149696476487
2006-06-26,0.9946195436121257
2006-06-27,0.9815715530890174
2006-06-28,0.9692333541963312
2006-06-29,1.0007832068901423
2006-06-30,0.997515807007544
2006-07-03,1.0011027524670715
2006-07-05,0.9774381482032205
2006-07-06,0.9777635424331377
2006-07-07,0.9774502572252695
2006-07-10,0.9782748743774582
2006-07-11,0.9862443055592228
2006-07-12,0.9713716038307519
2006-07-13,0.9299997374386216
2006-07-14,0.9229611878633941
2006-07-17,0.9326611991848933
2006-07-18,0.9161675843828696
2006-07-19,0.9508837998872973
2006-07-20,0.9487047844669665
2006-07-21,0.9526633031577806
2006-07-24,0.9200262257873135
2006-07-25,0.9166937766393312
2006-07-26,0.9170054421158376
2006-07-27,0.9049562013758647
2006-07-28,0.9117340714058897
2006-07-31,0.906340185716047
2006-08-01,0.8872808267732987
2006-08-02,0.8899548725176696
2006-08-03,0.8871889256173437
2006-08-04,0.8878716542511379
2006-08-07,0.8864458363051587
2006-08-08,0.8758436095674962
2006-08-09,0.8784541768335362
2006-08-10,0.8775436869304606
2006-08-11,0.8612746509575905
2006-08-14,0.8692318281086298
2006-08-15,0.8882163457560933
2006-08-16,0.9030032699595478
2006-08-17,0.9041318950677278
2006-08-18,0.9094426550332113
2006-08-21,0.9067297137277549
2006-08-22,0.9058846233201285
2006-08-23,0.8929433335082612
2006-08-24,0.9088525345261176
2006-08-25,0.9291735829829665
2006-08-28,0.919003362049542
2006-08-29,0.9123535767876734
2006-08-30,0.9109184050709407
2006-08-31,0.906625147730453
2006-09-01,0.9018615626112012
2006-09-05,0.9036193926044788
2006-09-06,0.9333908055645114
2006-09-07,0.8829576381557791
2006-09-08,0.9017974099305086
2006-09-11,0.9141387195306583
2006-09-12,0.9158477947197488
2006-09-13,0.8901937368866991
2006-09-14,0.9016301709178305
2006-09-15,0.8897552979140181
2006-09-18,0.871317318452344
2006-09-19,0.8646672055120975
2006-09-20,0.8683859342926707
2006-09-21,0.8495534003213802
2006-09-22,0.8564967416607434
2006-09-25,0.8068011121742469
2006-09-26,0.7841056400839803
2006-09-27,0.7761791360633821
2006-09-28,0.7699053394017473
2006-09-29,0.7695682693814259
2006-10-02,0.773864843020443
2006-10-03,0.7710757598997168
2006-10-04,0.7778272771996217
2006-10-05,0.8125043427624051
2006-10-06,0.8952091876580155
2006-10-09,0.9073944222935068
2006-10-10,0.8942088146354433
2006-10-11,0.9124343478562945
2006-10-12,0.8320011813352947
2006-10-13,0.8255561985270378
2006-10-16,0.8060400931396802
2006-10-17,0.906368165363191
2006-10-18,0.9102900757030294
2006-10-19,0.9052069350098081
2006-10-20,0.9163619478160354
2006-10-23,0.865938656663825
2006-10-24,0.8687796097704737
2006-10-25,0.9256204853486659
2006-10-26,0.9444530966716531
2006-10-27,0.8475501827779885
2006-10-30,0.8464979904593107
2006-10-31,0.8424406574655393
2006-11-01,0.80298108271692
2006-11-02,0.8016018774733868
2006-11-03,0.8240850132604011
2006-11-06,0.8326046697045341
2006-11-07,0.8377388229367349
2006-11-08,0.8002872768904558
2006-11-09,0.7161260257303226
2006-11-10,0.7239640286648799
2006-11-13,0.7181671422142356
2006-11-14,0.7566490779257533
2006-11-15,0.748538788630771
2006-11-16,0.7556164570132856
2006-11-17,0.7479570960208531
2006-11-20,0.7486810170816218
2006-11-21,0.7673258545875448
2006-11-22,0.7688640773605372
2006-11-24,0.7351232632005027
2006-11-27,0.6126504820382219
2006-11-28,0.6160783025954516
2006-11-29,0.580147160340887
2006-11-30,0.5253677703503746
2006-12-01,0.49127079007724156
2006-12-04,0.5208191648288217
2006-12-05,0.5049471463027113
2006-12-06,0.49440252664396345
2006-12-07,0.5104809072992536
2006-12-08,0.47744295350321775
2006-12-11,0.4817493074085152
2006-12-12,0.4835393734667755
2006-12-13,0.4883520641916984
2006-12-14,0.46108429919901567
2006-12-15,0.5326732812880526
2006-12-18,0.5582962579910261
2006-12-19,0.5151332780173666
2006-12-20,0.5614748836001714
2006-12-21,0.5585602387042488
2006-12-22,0.5952351799062623
2006-12-26,0.6013485004999602
2006-12-27,0.5550201422738876
2006-12-28,0.5573331490156769
2006-12-29,0.5125170378102826
2007-01-03,0.5193443973695796
2007-01-04,0.5031111818374887
2007-01-05,0.6147099978216153
2007-01-08,0.6339067477297556
2007-01-09,0.6249021467132996
2007-01-10,0.5992780791343055
2007-01-11,0.5776457698453626
2007-01-12,0.5927644501237087
2007-01-16,0.5833898008112343
2007-01-17,0.5829158361908485
2007-01-18,0.5903921014736425
2007-01-19,0.5905082669564867
2007-01-22,0.6194226245738474
2007-01-23,0.6227065956195589
2007-01-24,0.6061907210459805
2007-01-25,0.6577022061685022
2007-01-26,0.722653923258648
2007-01-29,0.7255312742425666
2007-01-30,0.7336081322432966
2007-01-31,0.7676938601919361
2007-02-01,0.7882436907223872
2007-02-02,0.7854164652991338
2007-02-05,0.7429227779488777
2007-02-06,0.7329266564044836
2007-02-07,0.7360388876301469
2007-02-08,0.7681822516575543
2007-02-09,0.7759936852641736
2007-02-12,0.7897318834536845
2007-02-13,0.7775596534664211
2007-02-14,0.8239734582545508
2007-02-15,0.8285452343280768
2007-02-16,0.8341988778009338
2007-02-20,0.8290271501175182
2007-02-21,0.8218100643267747
2007-02-22,0.8229183966394759
2007-02-23,0.8235022940283739
2007-02-26,0.9944096573651933
2007-02-27,0.6213839351062097
2007-02-28,0.6213200457927848
2007-03-01,0.6257737494770764
2007-03-02,0.7265296267295147
2007-03-05,0.7413363166398942
2007-03-06,0.8172551226009118
2007-03-07,0.8153694913139533
2007-03-08,0.810427749109462
2007-03-09,0.8144567315321104
2007-03-12,0.8136025643591668
2007-03-13,0.7872836469437632
2007-03-14,0.785431236620032
2007-03-15,0.7959798334569922
2007-03-16,0.7922540418612233
2007-03-19,0.7817895268590385
2007-03-20,0.7853523556928323
2007-03-21,0.7904902908706501
2007-03-22,0.7929806151105779
2007-03-23,0.7814124517139075
2007-03-26,0.7718567022550686
2007-03-27,0.7883221665544006
2007-03-28,0.7850423711217154
2007-03-29,0.7842811355959789
2007-03-30,0.7820316263921597
2007-04-02,0.7838595373262452
2007-04-03,0.7585430243465207
2007-04-04,0.7560131163002074
2007-04-05,0.7562590695390287
2007-04-09,0.7571719384864097
2007-04-10,0.7696286398700992
2007-04-11,0.7619394644694275
2007-04-12,0.7581206396817907
2007-04-13,0.758380063444636
2007-04-16,0.7722920526696044
2007-04-17,0.7714786457229668
2007-04-18,0.7712011824069703
2007-04-19,0.773950987399793
2007-04-20,0.7764726658901104
2007-04-23,0.7483051143269251
2007-04-24,0.7478639638389293
2007-04-25,0.7203244788829122
2007-04-26,0.7221362456630016
2007-04-27,0.7133855306250672
2007-04-30,0.6668923000751981
2007-05-01,0.6676492018769702
2007-05-02,0.6752269111170723
2007-05-03,0.6823500220797307
2007-05-04,0.6853033317078919
2007-05-07,0.6870765410509502
2007-05-08,0.6823493697739801
2007-05-09,0.6705575313314865
2007-05-10,0.6913020936906703
2007-05-11,0.6682031736958094
2007-05-14,0.6719308592699529
2007-05-15,0.6709546544151048
2007-05-16,0.6580606025299048
2007-05-17,0.6639804214634106
2007-05-18,0.6544834819136063
2007-05-21,0.6651462668934137
2007-05-22,0.6731039335408803
2007-05-23,0.8923731682270291
2007-05-24,0.8862996129011509
2007-05-25,0.8693925730057622
2007-05-29,0.7658950337519712
2007-05-30,0.7010111341117796
2007-05-31,0.6004493243795122
2007-06-01,0.6136637935134488
2007-06-04,0.6119048384060777
2007-06-05,0.6227371967162313
