ticker,date,close,shares,exposure,sharetrades,tradevalue,commission,interest,short_borrow_cost,margin_call
Cash,2021-07-02,0,0,-20281877.956865903,0,-0,0,-0,0,FALSE
VTI,2021-07-02,209.97900000000007,74473,15637766.067000005,0,0,0,0,-0,FALSE
TLT,2021-07-02,121.77800000000008,57746,7032192.388000004,0,0,0,0,-0,FALSE
GLD,2021-07-02,167.29000000000013,79000,13215910.000000011,0,0,0,0,-0,FALSE
VIXY,2021-07-02,472.59800000000075,0,0,0,0,0,0,-0,FALSE
SVXY,2021-07-02,28.045000000000027,180760,5069414.200000005,0,0,0,0,-0,FALSE
Cash,2021-07-06,0,0,-20281877.956865903,0,-0,0,-0,0,FALSE
VTI,2021-07-06,209.52200000000008,74473,15603731.906000005,0,0,0,0,-0,FALSE
TLT,2021-07-06,123.20500000000007,57746,7114595.930000004,0,0,0,0,-0,FALSE
GLD,2021-07-06,168.12000000000015,79000,13281480.000000011,0,0,0,0,-0,FALSE
VIXY,2021-07-06,483.9980000000005,0,0,0,0,0,0,-0,FALSE
SVXY,2021-07-06,27.720000000000017,180760,5010667.200000003,0,0,0,0,-0,FALSE
Cash,2021-07-07,0,0,-20281877.956865903,0,-0,0,-0,0,FALSE
VTI,2021-07-07,209.8020000000001,74473,15624584.346000008,0,0,0,0,-0,FALSE
TLT,2021-07-07,124.29700000000005,57746,7177654.562000003,0,0,0,0,-0,FALSE
GLD,2021-07-07,168.7600000000001,79000,13332040.000000007,0,0,0,0,-0,FALSE
VIXY,2021-07-07,485.1980000000005,0,0,0,0,0,0,-0,FALSE
SVXY,2021-07-07,27.700000000000017,180760,5007052.000000003,0,0,0,0,-0,FALSE
Cash,2021-07-08,0,0,-20006518.500268556,0,275683.9290000015,0,-0,0,FALSE
VTI,2021-07-08,208.0310000000001,61527,12799523.337000005,-12946,-2693169.3260000013,42.23538238641458,0,-0,FALSE
TLT,2021-07-08,124.78400000000006,103199,12877584.016000006,45453,5671807.152000003,133.5710202664514,0,-0,FALSE
GLD,2021-07-08,168.65000000000015,64053,10802538.450000009,-14947,-2520811.550000002,52.314500000000045,0,-0,FALSE
VIXY,2021-07-08,517.5970000000004,0,0,0,0,0,0,-0,FALSE
SVXY,2021-07-08,26.645000000000024,153231,4082839.995000004,-27529,-733510.2050000007,96.35150000000009,0,-0,FALSE
Cash,2021-07-09,0,0,-20006518.500268556,0,-0,0,-0,0,FALSE
VTI,2021-07-09,210.5480000000001,61527,12954386.796000006,0,0,0,0,-0,FALSE
TLT,2021-07-09,123.02900000000005,103199,12696469.771000005,0,0,0,0,-0,FALSE
GLD,2021-07-09,169.21000000000012,64053,10838408.130000008,0,0,0,0,-0,FALSE
VIXY,2021-07-09,481.39800000000054,0,0,0,0,0,0,-0,FALSE
SVXY,2021-07-09,27.710000000000022,153231,4246031.0100000035,0,0,0,0,-0,FALSE
Cash,2021-07-12,0,0,-20006518.500268556,0,-0,0,-0,0,FALSE
VTI,2021-07-12,211.1350000000001,61527,12990503.145000007,0,0,0,0,-0,FALSE
TLT,2021-07-12,122.86900000000007,103199,12679957.931000007,0,0,0,0,-0,FALSE
GLD,2021-07-12,169.00000000000014,64053,10824957.00000001,0,0,0,0,-0,FALSE
VIXY,2021-07-12,478.79800000000085,0,0,0,0,0,0,-0,FALSE
SVXY,2021-07-12,27.87500000000002,153231,4271314.125000004,0,0,0,0,-0,FALSE
Cash,2021-07-13,0,0,-20006518.500268556,0,-0,0,-0,0,FALSE
VTI,2021-07-13,209.9600000000001,61527,12918208.920000006,0,0,0,0,-0,FALSE
TLT,2021-07-13,121.92900000000006,103199,12582950.871000007,0,0,0,0,-0,FALSE
GLD,2021-07-13,169.22000000000014,64053,10839048.66000001,0,0,0,0,-0,FALSE
VIXY,2021-07-13,484.9980000000005,0,0,0,0,0,0,-0,FALSE
SVXY,2021-07-13,27.630000000000024,153231,4233772.530000004,0,0,0,0,-0,FALSE
Cash,2021-07-14,0,0,-20006518.500268556,0,-0,0,-0,0,FALSE
VTI,2021-07-14,209.6710000000001,61527,12900427.617000006,0,0,0,0,-0,FALSE
TLT,2021-07-14,123.31400000000005,103199,12725881.486000005,0,0,0,0,-0,FALSE
